"","LATITUDE","LONGITUDE"
"332968",40.764736,-73.98222
"332976",40.807995,-73.93815
"332980",40.8282,-73.93712
"332981",40.763416,-73.97906
"332985",40.794735,-73.96988
"332998",40.808075,-73.94217
"333000",40.779373,-73.98343
"333018",40.755512,-73.991066
"333024",40.721252,-73.995605
"333027",40.767838,-73.98137
"333031",40.73717,-73.992256
"333032",40.754875,-73.96853
"333036",40.785786,-73.978546
"333039",40.760456,-73.98374
"333043",40.71843,-74.000534
"333052",40.774933,-73.94477
"333053",40.778183,-73.948425
"333057",40.81571,-73.94063
"333059",40.717854,-73.992905
"333079",40.763733,-73.962074
"333083",40.85502,-73.93341
"333086",40.71885,-73.98923
"333087",40.71833,-73.99784
"333088",40.758644,-73.981346
"333115",40.730137,-74.0004
"333122",40.746857,-74.008
"333125",40.739582,-73.99998
"333132",40.751945,-73.99081
"333149",40.80549,-73.94215
"333180",40.762234,-73.98987
"333181",40.773655,-73.95173
"333197",40.809643,-73.947845
"333225",40.72235,-73.99327
"333239",40.720554,-74.00352
"333304",40.75048,-73.99472
"333321",40.751446,-74.001434
"333344",40.722492,-73.98458
"333353",40.710888,-74.00907
"333361",40.777634,-73.961174
"333371",40.84941,-73.93024
"333385",40.817898,-73.938095
"333396",40.731705,-74.00096
"333400",40.764214,-73.97096
"333402",40.82696,-73.94262
"333406",40.746616,-73.99382
"333419",40.752052,-73.98616
"333426",40.719784,-73.998535
"333430",40.724796,-73.99621
"333448",40.742283,-74.004425
"333452",40.865685,-73.92028
"333457",40.72032,-73.99404
"333471",40.765984,-73.965454
"333477",40.8037,-73.93582
"333478",40.866333,-73.92789
"333484",40.84701,-73.93541
"333490",40.793552,-73.945335
"333503",40.851395,-73.94129
"333506",40.757935,-73.98557
"333509",40.727825,-74.0048
"333512",40.72709,-73.991554
"333513",40.757637,-73.96342
"333524",40.74468,-73.987305
"333531",40.74581,-74.00554
"333533",40.72593,-73.99466
"333535",40.725292,-73.99219
"333570",40.802395,-73.936775
"333606",40.82796,-73.93847
"333616",40.723686,-73.99648
"333619",40.748676,-73.99298
"333640",40.811886,-73.942505
"333641",40.748554,-73.99455
"333646",40.73902,-73.987236
"333657",40.763023,-73.97815
"333676",40.863194,-73.91742
"333686",40.728367,-74.00537
"333688",40.77383,-73.9861
"333689",40.846104,-73.93609
